Time, Error Length, Energy
0.05, 4.863739E-5, 999.87506
0.10, 1.15811825E-4, 999.5337
0.15, 1.5482306E-4, 998.9912
0.20, 1.7431378E-4, 998.2743
0.25, 2.0930171E-4, 997.3582
0.30, 2.5215745E-4, 996.2863
0.35, 2.8455257E-4, 995.06006
0.40, 3.232062E-4, 993.68115
0.45, 3.604293E-4, 992.2218
0.50, 3.991425E-4, 990.6182
0.55, 4.480183E-4, 988.98865
0.60, 5.0261617E-4, 987.2509
0.65, 5.595684E-4, 985.46716
0.70, 6.2429905E-4, 983.6396
0.75, 6.990135E-4, 981.77496
0.80, 7.811785E-4, 980.64246
0.85, 9.171665E-4, 984.08044
0.90, 0.0010690689, 987.5176
0.95, 0.0012414157, 990.61475
1.00, 0.0014670789, 993.17334
1.05, 0.001832366, 994.5577
1.10, 0.0030210614, 992.6706
1.15, 0.0020084083, 990.806
1.20, 0.0010339916, 989.6577
1.25, 0.0011765659, 987.75464
1.30, 0.0010281503, 985.54877
1.35, 9.774268E-4, 982.96466
1.40, 9.255707E-4, 980.2535
1.45, 9.496808E-4, 977.49695
1.50, 9.281039E-4, 975.2061
1.55, 0.0010044277, 974.3108
1.60, 0.001016438, 974.76715
1.65, 9.6717477E-4, 975.87646
1.70, 8.929074E-4, 977.51624
1.75, 7.828176E-4, 979.2849
1.80, 6.490052E-4, 981.02185
1.85, 4.6896935E-4, 982.69476
1.90, 3.0472875E-4, 984.22864
1.95, 1.84834E-4, 985.5833
2.00, 1.1113286E-4, 986.7302
2.05, 7.635355E-5, 987.6819
2.10, 6.389618E-5, 988.43335
2.15, 5.7399273E-5, 988.9726
2.20, 5.8680773E-5, 989.30054
2.25, 5.9515238E-5, 989.4271
2.30, 6.681681E-5, 989.37494
2.35, 7.31349E-5, 989.0995
2.40, 8.34167E-5, 988.63416
2.45, 1.0699034E-4, 987.9987
2.50, 1.4176965E-4, 987.1998
2.55, 1.8462539E-4, 986.2199
2.60, 2.1982193E-4, 985.1108
2.65, 2.5600195E-4, 983.84766
2.70, 3.0231476E-4, 982.46344
2.75, 3.6224723E-4, 980.9534
2.80, 4.2551756E-4, 979.3347
2.85, 4.9325824E-4, 977.6234
2.90, 5.696118E-4, 975.8187
2.95, 6.7180395E-4, 973.95483
3.00, 7.580519E-4, 972.0791
3.05, 8.055568E-4, 970.3938
3.10, 7.9986453E-4, 971.1189
3.15, 7.920861E-4, 972.96497
3.20, 8.5037947E-4, 975.9092
3.25, 9.865761E-4, 978.6593
3.30, 0.0012719929, 979.96423
3.35, 0.0019493401, 972.5168
3.40, 0.008467793, 919.0383
