Time, Error Length, Energy
0.05, 6.2030554E-4, 997.62634
0.10, 0.0033853948, 995.20154
0.15, 0.0064664185, 992.6269
0.20, 0.008834481, 989.9357
0.25, 0.010779858, 987.11456
0.30, 0.012619376, 984.12964
0.35, 0.014529407, 980.9342
0.40, 0.016593486, 977.4759
0.45, 0.018860072, 973.69946
0.50, 0.021386027, 969.5387
0.55, 0.024235308, 964.91486
0.60, 0.027481526, 959.73145
0.65, 0.031206608, 953.8705
0.70, 0.035498857, 947.1842
0.75, 0.040458113, 939.4937
0.80, 0.04620254, 930.54614
0.85, 0.052870095, 920.0283
0.90, 0.060626388, 907.5029
0.95, 0.06964934, 892.35
1.00, 0.07999858, 873.7291
1.05, 0.09083867, 851.07605
1.10, 0.09874979, 826.75183
1.15, 0.09935328, 806.5372
1.20, 0.092217535, 793.20123
1.25, 0.08117896, 785.1101
1.30, 0.0709579, 779.5132
1.35, 0.064254045, 774.5756
1.40, 0.061099797, 769.57324
1.45, 0.059931844, 764.4971
1.50, 0.059037596, 759.6576
1.55, 0.057392, 755.3568
1.60, 0.05473733, 751.7228
1.65, 0.05126527, 748.7229
1.70, 0.047287315, 746.25024
1.75, 0.043056697, 744.18726
1.80, 0.03875351, 742.4267
1.85, 0.03453073, 740.87286
1.90, 0.030544102, 739.4397
1.95, 0.026953101, 738.0565
2.00, 0.023889571, 736.67474
2.05, 0.021428168, 735.26794
2.10, 0.01957184, 733.8279
2.15, 0.018265605, 732.35693
2.20, 0.017423749, 730.8618
2.25, 0.016961485, 729.34784
2.30, 0.016815007, 727.81744
2.35, 0.016942918, 726.26953
2.40, 0.017319202, 724.69885
2.45, 0.017926127, 723.0968
2.50, 0.018748611, 721.4514
2.55, 0.01977408, 719.74774
2.60, 0.020996988, 717.9674
2.65, 0.02241826, 716.0889
2.70, 0.024049759, 714.0852
2.75, 0.025918305, 711.92413
2.80, 0.028067559, 709.56433
2.85, 0.030561268, 706.9499
2.90, 0.0334875, 704.0035
2.95, 0.036963344, 700.61597
3.00, 0.04113841, 696.6219
3.05, 0.046203136, 691.76825
3.10, 0.052365273, 685.6654
3.15, 0.05967161, 677.7948
3.20, 0.067395, 667.9282
3.25, 0.073356, 657.1819
3.30, 0.07503393, 647.8196
3.35, 0.0718098, 641.20483
3.40, 0.06540966, 637.0529
3.45, 0.05850041, 634.31805
3.50, 0.053064436, 632.112
3.55, 0.049697667, 629.99243
3.60, 0.04788682, 627.86255
3.65, 0.046750784, 625.7958
3.70, 0.04562071, 623.8906
3.75, 0.0442338, 622.1929
3.80, 0.04260984, 620.6907
3.85, 0.040848047, 619.34985
3.90, 0.039010346, 618.1404
3.95, 0.037091732, 617.04254
4.00, 0.035068095, 616.0416
4.05, 0.032955438, 615.1169
4.10, 0.03081882, 614.2405
4.15, 0.028771281, 613.3816
4.20, 0.026939481, 612.5135
4.25, 0.025427163, 611.6187
4.30, 0.024299294, 610.6892
4.35, 0.023578167, 609.7244
4.40, 0.023254782, 608.7269
4.45, 0.02329725, 607.7008
4.50, 0.0236727, 606.6477
4.55, 0.024346828, 605.56604
4.60, 0.025288135, 604.4522
4.65, 0.026462346, 603.29944
4.70, 0.027831763, 602.0991
4.75, 0.029355824, 600.8423
4.80, 0.030989885, 599.52124
4.85, 0.03269562, 598.1269
4.90, 0.034448057, 596.65234
4.95, 0.036239058, 595.0887
5.00, 0.038085133, 593.4238
5.05, 0.040020734, 591.6398
5.10, 0.042091697, 589.7124
5.15, 0.0443407, 587.6094
5.20, 0.0467858, 585.2927
5.25, 0.049387395, 582.72705
5.30, 0.051994503, 579.9048
5.35, 0.05430129, 576.88916
5.40, 0.055883825, 573.8478
5.45, 0.05635798, 571.01416
5.50, 0.055596977, 568.57574
5.55, 0.05381745, 566.58813
5.60, 0.0514625, 564.9852
5.65, 0.048985362, 563.65247
5.70, 0.046685964, 562.4893
5.75, 0.044656605, 561.4383
5.80, 0.04284817, 560.4765
5.85, 0.04115817, 559.59906
5.90, 0.039510608, 558.80225
5.95, 0.037878424, 558.07654
6.00, 0.036269903, 557.4072
6.05, 0.034713715, 556.77747
6.10, 0.03323707, 556.1723
6.15, 0.03185752, 555.57996
6.20, 0.030593038, 554.9905
6.25, 0.029460698, 554.3959
6.30, 0.028482527, 553.78955
6.35, 0.027682692, 553.16675
6.40, 0.027085781, 552.52386
6.45, 0.026711255, 551.8594
6.50, 0.026570022, 551.1728
6.55, 0.026666433, 550.46387
6.60, 0.026997477, 549.7329
6.65, 0.027554095, 548.9787
6.70, 0.02832055, 548.19934
6.75, 0.029279739, 547.3918
6.80, 0.030408293, 546.5515
6.85, 0.031683862, 545.6735
6.90, 0.033079714, 544.75226
6.95, 0.03456989, 543.78186
7.00, 0.036130548, 542.75653
7.05, 0.037739307, 541.6711
7.10, 0.039373457, 540.521
7.15, 0.041012406, 539.30273
7.20, 0.04262939, 538.0151
7.25, 0.0441871, 536.6609
7.30, 0.04563421, 535.2485
7.35, 0.046904594, 533.79553
7.40, 0.047914833, 532.3299
7.45, 0.048584312, 530.8887
7.50, 0.048847914, 529.5125
7.55, 0.048685312, 528.2366
7.60, 0.048120975, 527.08295
7.65, 0.047225744, 526.0569
7.70, 0.046096265, 525.1504
7.75, 0.04482469, 524.3474
7.80, 0.043483377, 523.6312
7.85, 0.04211667, 522.98737
7.90, 0.040745407, 522.4041
7.95, 0.039379984, 521.8718
8.00, 0.038029313, 521.38135
8.05, 0.036703497, 520.92346
8.10, 0.035416573, 520.489
8.15, 0.03418809, 520.0688
8.20, 0.033037305, 519.6541
8.25, 0.031986505, 519.23804
8.30, 0.031051725, 518.8146
8.35, 0.030252159, 518.3794
8.40, 0.029600918, 517.9292
8.45, 0.029111624, 517.46246
8.50, 0.028792858, 516.9779
8.55, 0.028651059, 516.4756
8.60, 0.028686583, 515.95557
8.65, 0.028898656, 515.41785
8.70, 0.029282212, 514.8621
8.75, 0.029828161, 514.2876
8.80, 0.030525893, 513.69324
8.85, 0.03136164, 513.07715
8.90, 0.032319218, 512.4371
8.95, 0.033379763, 511.7698
9.00, 0.03452602, 511.0727
9.05, 0.035737336, 510.34302
9.10, 0.03699255, 509.57803
9.15, 0.038267016, 508.7765
9.20, 0.039536625, 507.93823
9.25, 0.04076591, 507.06537
9.30, 0.041921914, 506.163
9.35, 0.042959273, 505.2398
9.40, 0.043831944, 504.30884
9.45, 0.04449597, 503.3864
9.50, 0.04491183, 502.49078
9.55, 0.04505831, 501.63956
9.60, 0.044935852, 500.84656
9.65, 0.04456377, 500.1198
9.70, 0.04398021, 499.46155
9.75, 0.04323536, 498.86835
9.80, 0.042372346, 498.33395
9.85, 0.041433185, 497.8511
9.90, 0.040446162, 497.4126
9.95, 0.0394336, 497.0115
10.00, 0.038409203, 496.6415
10.05, 0.037386924, 496.2962
10.10, 0.036379457, 495.9702
10.15, 0.03540045, 495.6568
10.20, 0.03446558, 495.35062
10.25, 0.033590168, 495.04614
10.30, 0.032789767, 494.7386
10.35, 0.032081515, 494.4241
10.40, 0.0314762, 494.09964
10.45, 0.030986518, 493.76306
10.50, 0.03062269, 493.41306
10.55, 0.030390233, 493.0487
10.60, 0.030294508, 492.66983
10.65, 0.0303365, 492.27664
10.70, 0.030515075, 491.8689
10.75, 0.030825317, 491.44678
10.80, 0.031259567, 491.0103
10.85, 0.03180763, 490.55908
10.90, 0.032459736, 490.09247
10.95, 0.033201903, 489.60965
11.00, 0.03401777, 489.10974
11.05, 0.0348922, 488.59183
11.10, 0.035808355, 488.05524
11.15, 0.036747694, 487.49988
11.20, 0.037689716, 486.92584
11.25, 0.038614064, 486.3346
11.30, 0.039496362, 485.72897
11.35, 0.040312618, 485.1126
11.40, 0.041031897, 484.4914
11.45, 0.041629523, 483.87292
11.50, 0.042078108, 483.2656
11.55, 0.04235959, 482.67874
11.60, 0.042460233, 482.12057
11.65, 0.04238075, 481.598
11.70, 0.04212764, 481.11542
11.75, 0.04172215, 480.67416
11.80, 0.041189075, 480.2731
11.85, 0.040555477, 479.90958
11.90, 0.03984812, 479.57925
11.95, 0.03909105, 479.2776
12.00, 0.03830412, 478.99973
12.05, 0.03750214, 478.74115
12.10, 0.03670177, 478.4972
12.15, 0.03591597, 478.2636
12.20, 0.035158098, 478.03598
12.25, 0.03444037, 477.81067
12.30, 0.03377545, 477.584
12.35, 0.03317499, 477.35312
12.40, 0.0326491, 477.1154
12.45, 0.03220904, 476.86893
12.50, 0.031861007, 476.61246
12.55, 0.03161183, 476.345
12.60, 0.031467736, 476.066
12.65, 0.031429917, 475.77536
12.70, 0.03149849, 475.47314
12.75, 0.031672984, 475.15945
12.80, 0.03194812, 474.83426
12.85, 0.032318473, 474.49768
12.90, 0.032776356, 474.14996
12.95, 0.033308983, 473.79102
13.00, 0.03390768, 473.4207
13.05, 0.034558237, 473.0392
13.10, 0.035246015, 472.64648
13.15, 0.035957783, 472.24307
13.20, 0.036675483, 471.82968
