Time, Error Length, Energy
0.05, 0.0010367334, 997.625
0.10, 0.009034455, 995.2411
0.15, 0.032717645, 992.7594
0.20, 0.07575831, 989.9546
0.25, 0.13535699, 986.6605
0.30, 0.21044388, 982.79846
0.35, 0.30291405, 978.1783
0.40, 0.41431978, 972.56573
0.45, 0.54528785, 965.75085
0.50, 0.69612736, 957.5202
0.55, 0.86696815, 947.6513
0.60, 1.0577073, 935.92175
0.65, 1.2679942, 922.1085
0.70, 1.4972172, 905.9875
0.75, 1.7444971, 887.33936
0.80, 2.0086985, 865.9526
0.85, 2.288449, 841.62683
0.90, 2.582192, 814.1835
0.95, 2.8882494, 783.4663
1.00, 3.2049284, 749.3467
1.05, 3.5306735, 711.72253
1.10, 3.864243, 670.5118
1.15, 4.204911, 625.6413
1.20, 4.5526342, 577.03217
1.25, 4.9081373, 524.58435
1.30, 5.2728934, 468.16595
1.35, 5.648949, 407.60562
1.40, 6.038603, 342.69345
1.45, 6.443978, 273.1885
1.50, 6.866539, 198.83694
1.55, 7.3064475, 119.41437
1.60, 7.7609982, 34.843933
1.65, 8.221804, -54.47412
1.70, 8.67391, -147.22375
1.75, 9.100131, -241.17572
1.80, 9.486609, -333.81348
1.85, 9.824992, -422.95526
1.90, 10.111855, -507.0064
1.95, 10.347329, -584.90247
2.00, 10.533813, -655.9375
2.05, 10.674974, -719.5979
2.10, 10.775011, -775.45416
2.15, 10.838141, -823.1062
2.20, 10.868281, -862.166
2.25, 10.868866, -892.2504
2.30, 10.84277, -912.9776
2.35, 10.792282, -923.95294
2.40, 10.719175, -924.7516
2.45, 10.624711, -914.897
2.50, 10.509748, -893.8572
2.55, 10.374781, -861.08435
2.60, 10.220064, -816.24164
2.65, 10.045692, -759.80615
2.70, 9.851693, -693.63434
2.75, 9.638008, -620.62463
2.80, 9.404342, -543.67944
2.85, 9.150016, -464.9004
2.90, 8.874021, -385.43814
2.95, 8.575183, -305.79572
3.00, 8.252526, -226.23145
3.05, 7.9055767, -147.05298
3.10, 7.5346203, -68.74695
3.15, 7.140827, 8.014526
3.20, 6.7263064, 82.43503
3.25, 6.2940583, 153.67438
3.30, 5.8478947, 220.9249
3.35, 5.3923125, 283.47284
3.40, 4.932329, 340.7461
3.45, 4.473306, 392.34784
3.50, 4.020732, 438.07556
3.55, 3.580022, 477.92477
3.60, 3.1562915, 512.0741
