Time, Error Length, Energy
0.05, 2.490282E-4, 999.75964
0.10, 0.0014819503, 999.47314
0.15, 0.0013023913, 999.20996
0.20, 0.0019062161, 998.8988
0.25, 0.0020449162, 998.58124
0.30, 0.0025153458, 998.2096
0.35, 0.0028031766, 997.81287
0.40, 0.0032198727, 997.3565
0.45, 0.0036197007, 996.84625
0.50, 0.004060954, 996.26245
0.55, 0.0045545697, 995.59766
0.60, 0.0050810277, 994.82874
0.65, 0.0056786537, 993.9317
0.70, 0.00633803, 992.87744
0.75, 0.007091999, 991.619
0.80, 0.007953107, 990.1022
0.85, 0.00895983, 988.2291
0.90, 0.01017043, 985.8361
0.95, 0.011694282, 982.6388
1.00, 0.01377067, 978.02936
1.05, 0.017047226, 970.21375
1.10, 0.022065282, 954.28876
1.15, 0.012265831, 951.24426
1.20, 0.010917306, 949.43884
1.25, 0.0115297735, 946.9822
1.30, 0.00857389, 946.57574
1.35, 0.01008594, 944.84924
1.40, 0.008336693, 944.24713
1.45, 0.009232253, 942.979
1.50, 0.008563191, 942.1317
1.55, 0.008882582, 941.0724
1.60, 0.008523464, 940.17896
1.65, 0.008164912, 939.3701
1.70, 0.0075643957, 938.67566
1.75, 0.006574303, 938.17773
1.80, 0.005433172, 937.8106
1.85, 0.0040509105, 937.573
1.90, 0.002898872, 937.3647
1.95, 0.0020356774, 937.15765
2.00, 0.0015170276, 936.9409
2.05, 0.0012557209, 936.71704
2.10, 0.0011379123, 936.4884
2.15, 0.0011018813, 936.2552
2.20, 0.0011253357, 936.0173
2.25, 0.001199156, 935.7727
2.30, 0.001321733, 935.5182
2.35, 0.0014914274, 935.249
2.40, 0.0017109513, 934.9578
2.45, 0.0019717515, 934.6382
2.50, 0.002272904, 934.28076
2.55, 0.002611041, 933.8747
2.60, 0.0029854476, 933.4081
2.65, 0.0033988357, 932.86597
2.70, 0.0038416684, 932.23425
2.75, 0.0042953193, 931.50366
2.80, 0.004745364, 930.66296
2.85, 0.005167991, 929.709
2.90, 0.005522758, 928.6538
2.95, 0.005812347, 927.5165
3.00, 0.0061059, 926.30286
3.05, 0.0065025985, 924.93665
3.10, 0.007125169, 923.2947
3.15, 0.008112013, 921.06024
3.20, 0.009713024, 917.411
3.25, 0.012548327, 909.5215
3.30, 0.018859535, 881.2693
3.35, 0.02657649, 827.59973
3.40, 3.784597E-4, 831.9
3.45, 0.015357345, 825.89764
3.50, 0.005151093, 826.95795
3.55, 0.0093539655, 825.2232
3.60, 0.0071651638, 824.5566
3.65, 0.007440865, 823.88074
3.70, 0.0076230466, 822.9621
3.75, 0.0072011054, 822.3995
3.80, 0.0075244606, 821.57477
3.85, 0.0066483617, 821.1201
3.90, 0.0063348413, 820.59546
3.95, 0.0053441525, 820.2886
4.00, 0.0048253834, 819.97064
4.05, 0.0041552186, 819.72656
4.10, 0.0038303137, 819.46967
4.15, 0.003448546, 819.2394
4.20, 0.0030515194, 819.0303
4.25, 0.0024403036, 818.85156
4.30, 0.0018469989, 818.67676
4.35, 0.0014865994, 818.48566
4.40, 0.0013718307, 818.2806
4.45, 0.0014362037, 818.0658
4.50, 0.001639396, 817.8405
4.55, 0.0019969344, 817.597
4.60, 0.002459973, 817.3279
4.65, 0.00297153, 817.0239
4.70, 0.003442198, 816.6853
4.75, 0.003911704, 816.30725
4.80, 0.0044369996, 815.8749
4.85, 0.0049702525, 815.3814
4.90, 0.0053091347, 814.8607
4.95, 0.0054593384, 814.33997
5.00, 0.0056289732, 813.8049
5.05, 0.005849153, 813.2233
5.10, 0.0060524642, 812.62964
5.15, 0.0062718093, 811.98584
5.20, 0.006547779, 811.29474
5.25, 0.0069368184, 810.5172
5.30, 0.0075576603, 809.567
5.35, 0.008479446, 808.3013
5.40, 0.009814888, 806.44556
5.45, 0.011819184, 803.35095
5.50, 0.015214324, 796.8761
5.55, 0.016406924, 788.4246
5.60, 0.008264512, 788.4408
5.65, 0.011262834, 786.0886
5.70, 0.008225471, 785.59753
5.75, 0.008065641, 784.85474
5.80, 0.0074065924, 784.22156
5.85, 0.0064718723, 783.88776
5.90, 0.006326437, 783.40784
5.95, 0.005586505, 783.145
6.00, 0.005417496, 782.8098
6.05, 0.004901737, 782.5686
6.10, 0.004706949, 782.3102
6.15, 0.004382193, 782.0919
6.20, 0.004221946, 781.8662
6.25, 0.003987223, 781.6631
6.30, 0.003761679, 781.46857
6.35, 0.0034324229, 781.2951
6.40, 0.003042847, 781.13574
6.45, 0.0026254654, 780.9824
6.50, 0.0022580922, 780.82574
6.55, 0.0020130575, 780.6581
6.60, 0.0019122958, 780.4795
6.65, 0.0019595325, 780.29
6.70, 0.0021432936, 780.08997
6.75, 0.00245592, 779.8748
6.80, 0.0028634965, 779.6404
6.85, 0.0033067763, 779.3833
6.90, 0.0037287772, 779.105
6.95, 0.0041175485, 778.80304
7.00, 0.0044853985, 778.4749
7.05, 0.0048357844, 778.12506
7.10, 0.0051900744, 777.7361
7.15, 0.0055865943, 777.3042
7.20, 0.0060347915, 776.8211
7.25, 0.00650537, 776.2763
7.30, 0.006968051, 775.67017
7.35, 0.0074180067, 775.0016
7.40, 0.007905573, 774.2433
7.45, 0.008479565, 773.3666
7.50, 0.009117454, 772.3401
7.55, 0.009759456, 771.1354
7.60, 0.01060611, 769.6113
7.65, 0.012374848, 767.03046
7.70, 0.013461858, 763.54205
7.75, 0.009386241, 762.9959
7.80, 0.009565145, 761.93097
7.85, 0.008583039, 761.2954
7.90, 0.007638812, 760.9083
7.95, 0.0076134503, 760.35034
8.00, 0.006742388, 760.07227
8.05, 0.006715238, 759.6605
8.10, 0.00616017, 759.38403
8.15, 0.00591287, 759.09357
8.20, 0.005458355, 758.8607
8.25, 0.005027443, 758.6627
8.30, 0.0045959353, 758.47906
8.35, 0.0041331053, 758.32825
8.40, 0.0037183762, 758.1842
8.45, 0.0032868385, 758.05206
8.50, 0.002924174, 757.91583
8.55, 0.0026018023, 757.7786
8.60, 0.0023647249, 757.63477
8.65, 0.0022001266, 757.4835
8.70, 0.0021283627, 757.3252
8.75, 0.0021409988, 757.15936
8.80, 0.0022500753, 756.98517
8.85, 0.0024466217, 756.8016
8.90, 0.002720654, 756.60754
8.95, 0.0030433536, 756.4011
9.00, 0.0033946037, 756.1779
9.05, 0.0037384033, 755.9386
9.10, 0.0040765107, 755.6817
9.15, 0.0044139624, 755.4067
9.20, 0.004750967, 755.1007
9.25, 0.0050935447, 754.7686
9.30, 0.005439341, 754.41254
9.35, 0.0057911575, 754.0171
9.40, 0.006164998, 753.5867
9.45, 0.0065799356, 753.0958
9.50, 0.0070742965, 752.5392
9.55, 0.00769493, 751.864
9.60, 0.008475751, 751.02686
9.65, 0.009489149, 749.9144
9.70, 0.0107806325, 748.3506
9.75, 0.01214537, 746.1671
9.80, 0.011868596, 744.2715
9.85, 0.010157943, 743.3462
9.90, 0.009628683, 742.4573
9.95, 0.008720607, 741.8649
10.00, 0.00806886, 741.38135
10.05, 0.0076096654, 740.938
10.10, 0.007058263, 740.59216
10.15, 0.006730914, 740.2472
10.20, 0.0063076317, 739.96313
10.25, 0.0059974194, 739.6933
10.30, 0.0056560636, 739.4558
10.35, 0.0053519607, 739.2334
10.40, 0.005043119, 739.03534
10.45, 0.0047152936, 738.8522
10.50, 0.0043564737, 738.69135
10.55, 0.0039512515, 738.5477
10.60, 0.003527552, 738.4165
10.65, 0.0031125546, 738.2889
10.70, 0.0027619898, 738.1553
10.75, 0.0025045574, 738.01306
10.80, 0.0023564398, 737.86066
10.85, 0.0023132563, 737.69916
10.90, 0.0023633838, 737.5294
10.95, 0.0024972856, 737.35114
11.00, 0.0026949942, 737.1638
11.05, 0.0029468536, 736.96606
11.10, 0.0032285154, 736.7549
11.15, 0.0035286844, 736.5289
11.20, 0.0038388968, 736.28564
11.25, 0.0041565895, 736.01605
11.30, 0.0044955313, 735.7334
11.35, 0.0048384666, 735.41815
11.40, 0.0051929355, 735.071
11.45, 0.0055390596, 734.69507
11.50, 0.0058875084, 734.286
11.55, 0.006245047, 733.83026
11.60, 0.0066398084, 733.32153
11.65, 0.0070895255, 732.7444
11.70, 0.007623911, 732.0702
11.75, 0.008269757, 731.2542
11.80, 0.009094536, 730.2101
11.85, 0.010278255, 728.7092
11.90, 0.012251079, 726.07166
11.95, 0.012388021, 723.3375
12.00, 0.009061128, 722.77295
12.05, 0.009195387, 721.81165
12.10, 0.008071095, 721.32837
12.15, 0.0074671507, 720.9242
12.20, 0.0072351396, 720.4795
12.25, 0.006575823, 720.20355
12.30, 0.0064487755, 719.8627
12.35, 0.005964458, 719.625
12.40, 0.0057386756, 719.3613
12.45, 0.0053547025, 719.1575
12.50, 0.005041003, 718.9655
12.55, 0.004691303, 718.79517
12.60, 0.0043459237, 718.6443
12.65, 0.0040151477, 718.50183
12.70, 0.0036745965, 718.3727
12.75, 0.0033681393, 718.2443
12.80, 0.003069222, 718.1166
12.85, 0.0028121173, 717.9862
12.90, 0.0026035905, 717.84973
12.95, 0.0024735928, 717.7064
13.00, 0.0024332106, 717.55493
13.05, 0.0024921894, 717.3939
13.10, 0.0026501715, 717.2237
13.15, 0.00289312, 717.04205
