Time, Error Length, Energy
0.05, 3.567338E-5, 999.76276
0.10, 8.022785E-5, 999.51086
0.15, 8.5532665E-5, 999.2442
0.20, 9.894371E-5, 998.96106
0.25, 1.1563301E-4, 998.6549
0.30, 1.3250113E-4, 998.3151
0.35, 1.4692545E-4, 997.938
0.40, 1.6579032E-4, 997.52423
0.45, 1.8700957E-4, 997.05115
0.50, 2.0989776E-4, 996.5022
0.55, 2.3654103E-4, 995.8899
0.60, 2.6920438E-4, 995.19055
0.65, 3.0741096E-4, 994.37994
0.70, 3.5238266E-4, 993.4497
0.75, 4.0739775E-4, 992.32513
0.80, 4.7260523E-4, 990.9753
0.85, 5.5229664E-4, 989.35266
0.90, 6.5386295E-4, 987.1971
0.95, 7.804334E-4, 984.3657
1.00, 9.546876E-4, 980.3186
1.05, 0.0012362003, 973.32715
1.10, 0.0013875067, 959.4966
1.15, 9.3477964E-4, 953.42737
1.20, 7.863939E-4, 950.8147
1.25, 6.966591E-4, 949.068
1.30, 6.4229965E-4, 947.6671
1.35, 6.094277E-4, 946.4408
1.40, 5.944967E-4, 945.32336
1.45, 5.9479475E-4, 944.23224
1.50, 6.008148E-4, 943.1741
1.55, 6.066859E-4, 942.14746
1.60, 6.0272217E-4, 941.14795
1.65, 5.82844E-4, 940.2689
1.70, 5.424619E-4, 939.4623
1.75, 4.7764182E-4, 938.77625
1.80, 3.8957596E-4, 938.2341
1.85, 2.9191375E-4, 937.8251
1.90, 2.0495057E-4, 937.50696
1.95, 1.4185905E-4, 937.24207
2.00, 1.0111928E-4, 936.9994
2.05, 7.754564E-5, 936.7622
2.10, 6.4373016E-5, 936.53076
2.15, 5.605817E-5, 936.29736
2.20, 5.2183867E-5, 936.06177
2.25, 5.1915646E-5, 935.81946
2.30, 5.4001808E-5, 935.5744
2.35, 5.9127808E-5, 935.3127
2.40, 6.583333E-5, 935.03094
2.45, 7.492304E-5, 934.71783
2.50, 8.702278E-5, 934.3743
2.55, 1.01327896E-4, 933.98834
2.60, 1.17987394E-4, 933.5465
2.65, 1.3715029E-4, 933.04175
2.70, 1.6066432E-4, 932.46277
2.75, 1.8662214E-4, 931.79156
2.80, 2.1493435E-4, 931.0113
2.85, 2.4458766E-4, 930.1425
2.90, 2.7799606E-4, 929.1534
2.95, 3.0824542E-4, 928.05396
3.00, 3.376603E-4, 926.8916
3.05, 3.8093328E-4, 925.61646
3.10, 4.377663E-4, 924.1022
3.15, 5.20736E-4, 922.0483
3.20, 6.522536E-4, 918.5327
3.25, 8.8334084E-4, 910.5204
3.30, 0.0016198754, 877.3943
3.35, 9.0911984E-4, 834.56946
3.40, 7.199645E-4, 830.44165
3.45, 6.147623E-4, 828.58923
3.50, 5.505681E-4, 827.35596
3.55, 5.1248074E-4, 826.3721
3.60, 4.8708916E-4, 825.52856
3.65, 4.7841668E-4, 824.803
3.70, 4.799962E-4, 824.0292
3.75, 4.8673153E-4, 823.271
3.80, 4.785657E-4, 822.5327
3.85, 4.43846E-4, 821.8698
3.90, 3.9684772E-4, 821.31274
3.95, 3.4815073E-4, 820.84296
4.00, 3.0601025E-4, 820.43555
4.05, 2.7635694E-4, 820.1227
4.10, 2.578795E-4, 819.8347
4.15, 2.4089217E-4, 819.5601
4.20, 2.130568E-4, 819.3057
4.25, 1.7219782E-4, 819.08636
4.30, 1.2919307E-4, 818.8742
4.35, 1.0216236E-4, 818.6661
4.40, 9.1433525E-5, 818.456
4.45, 9.304285E-5, 818.24274
4.50, 1.0544062E-4, 818.0223
4.55, 1.284182E-4, 817.78503
4.60, 1.5985966E-4, 817.5365
4.65, 1.9466877E-4, 817.2613
