Time, Error Length, Energy
0.05, 0.0010199249, 997.62524
0.10, 0.008149296, 995.2194
0.15, 0.025106102, 992.60266
0.20, 0.050758153, 989.60675
0.25, 0.08406344, 986.0743
0.30, 0.12373716, 981.7672
0.35, 0.16775274, 976.5062
0.40, 0.2140696, 970.1931
0.45, 0.26107264, 962.8119
0.50, 0.30778778, 954.3971
0.55, 0.35392168, 944.99457
0.60, 0.39974537, 934.62103
0.65, 0.44590113, 923.23914
0.70, 0.49319243, 910.74664
0.75, 0.5424366, 896.9776
0.80, 0.59440595, 881.7058
0.85, 0.64985454, 864.649
0.90, 0.7095766, 845.46045
0.95, 0.774459, 823.714
1.00, 0.84551, 798.87646
1.05, 0.92372394, 770.28326
1.10, 1.009246, 737.2062
1.15, 1.0982188, 699.676
1.20, 1.179655, 660.6317
1.25, 1.2409776, 625.30994
1.30, 1.2752765, 597.65405
1.35, 1.2812481, 579.6909
1.40, 1.260403, 572.3771
1.45, 1.2152811, 575.6113
1.50, 1.1490291, 587.80945
1.55, 1.0656501, 606.0702
1.60, 0.9702036, 627.0298
1.65, 0.8685769, 647.7607
1.70, 0.766854, 666.2582
1.75, 0.67053866, 681.4996
1.80, 0.58391106, 693.25104
1.85, 0.50967765, 701.7835
1.90, 0.44894487, 707.60846
1.95, 0.40143365, 711.28925
2.00, 0.36585623, 713.34094
2.05, 0.34032154, 714.19354
2.10, 0.32269916, 714.19116
2.15, 0.31090385, 713.60394
2.20, 0.30307534, 712.6389
2.25, 0.29768825, 711.4503
2.30, 0.293599, 710.14667
2.35, 0.2900593, 708.7946
2.40, 0.28668985, 707.4255
2.45, 0.28343308, 706.0406
2.50, 0.28048044, 704.62146
2.55, 0.27818608, 703.1359
2.60, 0.2769734, 701.54694
2.65, 0.27725098, 699.81683
2.70, 0.27934638, 697.9108
2.75, 0.28346664, 695.7987
2.80, 0.28969562, 693.4558
2.85, 0.29802558, 690.8613
2.90, 0.30841634, 687.99677
2.95, 0.3208662, 684.84033
3.00, 0.33547553, 681.3604
3.05, 0.35248497, 677.5077
3.10, 0.37228793, 673.2055
3.15, 0.39542156, 668.3391
3.20, 0.42256302, 662.746
3.25, 0.45453954, 656.2003
3.30, 0.49238294, 648.3889
3.35, 0.5374089, 638.8672
3.40, 0.5913118, 626.9819
3.45, 0.6560082, 611.7738
3.50, 0.73219484, 592.1271
3.55, 0.81599456, 567.86365
3.60, 0.8984338, 540.87836
3.65, 0.9700773, 514.1322
3.70, 1.0242525, 490.29236
3.75, 1.0570637, 471.55988
3.80, 1.066435, 459.8062
3.85, 1.0514858, 456.29498
3.90, 1.0125136, 461.13068
3.95, 0.95135266, 473.00412
4.00, 0.87165844, 489.51337
4.05, 0.77876633, 507.8606
4.10, 0.67910063, 525.556
4.15, 0.5793229, 540.8676
4.20, 0.48551232, 552.9439
4.25, 0.4025723, 561.6784
4.30, 0.3339186, 567.447
4.35, 0.28143695, 570.83624
4.40, 0.24560922, 572.4353
4.45, 0.22573802, 572.71906
4.50, 0.22019807, 572.0106
4.55, 0.22667813, 570.5056
4.60, 0.24243274, 568.3234
4.65, 0.26454255, 565.567
4.70, 0.2901964, 562.36017
4.75, 0.31692958, 558.8597
4.80, 0.34280875, 555.24115
4.85, 0.36649737, 551.67316
4.90, 0.3872355, 548.2915
4.95, 0.40473112, 545.18396
5.00, 0.41903436, 542.3874
5.05, 0.43040556, 539.89624
5.10, 0.4392231, 537.6744
5.15, 0.44592234, 535.6692
5.20, 0.45097944, 533.82153
5.25, 0.45493343, 532.0693
5.30, 0.45840803, 530.34796
5.35, 0.46212497, 528.5874
5.40, 0.46687865, 526.7084
5.45, 0.4734868, 524.6193
5.50, 0.48274115, 522.2139
5.55, 0.49536756, 519.37036
5.60, 0.5120007, 515.9498
5.65, 0.5331381, 511.79727
5.70, 0.5590166, 506.75128
5.75, 0.58936584, 500.68018
5.80, 0.6231309, 493.5594
5.85, 0.6584621, 485.5526
5.90, 0.6930672, 477.0246
5.95, 0.7246014, 468.49213
6.00, 0.7508742, 460.56323
6.05, 0.7699155, 453.8792
6.10, 0.7800239, 449.04123
6.15, 0.7798984, 446.5176
6.20, 0.7687989, 446.55164
6.25, 0.7467125, 449.10153
6.30, 0.71442294, 453.8353
6.35, 0.6734834, 460.18802
6.40, 0.6260601, 467.46683
6.45, 0.5747073, 474.97153
6.50, 0.5221112, 482.10095
6.55, 0.47084916, 488.4182
6.60, 0.42320365, 493.6695
6.65, 0.38103053, 497.76465
6.70, 0.34569585, 500.734
6.75, 0.31806102, 502.6796
6.80, 0.29850402, 503.73132
6.85, 0.28696832, 504.01605
6.90, 0.28302014, 503.64166
6.95, 0.28592196, 502.69244
7.00, 0.2947025, 501.2345
7.05, 0.30824423, 499.3251
7.10, 0.32535952, 497.02252
7.15, 0.34487292, 494.39322
7.20, 0.36568838, 491.51355
7.25, 0.38684568, 488.46832
7.30, 0.40755475, 485.34476
7.35, 0.4272208, 482.22482
7.40, 0.4454487, 479.17798
7.45, 0.46203282, 476.25537
7.50, 0.47694394, 473.4853
7.55, 0.49030316, 470.87338
7.60, 0.5023526, 468.40344
7.65, 0.5134302, 466.041
7.70, 0.52393484, 463.73752
7.75, 0.5342889, 461.43524
7.80, 0.54490036, 459.0724
7.85, 0.55610454, 456.58963
7.90, 0.5681102, 453.9375
7.95, 0.5809238, 451.08862
8.00, 0.5942999, 448.0506
8.05, 0.60771877, 444.88055
8.10, 0.62043715, 441.6905
8.15, 0.631589, 438.64056
8.20, 0.640306, 435.92004
8.25, 0.64581394, 433.72284
8.30, 0.6474833, 432.22125
8.35, 0.6448681, 431.54227
8.40, 0.6377295, 431.7492
8.45, 0.62605774, 432.83313
8.50, 0.6100865, 434.7141
8.55, 0.59029096, 437.252
8.60, 0.5673583, 440.26636
8.65, 0.5421383, 443.5582
8.70, 0.51558197, 446.93124
8.75, 0.4886718, 450.20996
8.80, 0.46235803, 453.2508
8.85, 0.43750995, 455.94745
8.90, 0.41487586, 458.2311
8.95, 0.3950643, 460.0659
9.00, 0.37853098, 461.44098
9.05, 0.3655799, 462.36438
9.10, 0.35636917, 462.85507
9.15, 0.3509236, 462.93726
9.20, 0.34914482, 462.63727
9.25, 0.35083288, 461.98068
9.30, 0.35569713, 460.9928
9.35, 0.36337635, 459.69852
9.40, 0.373461, 458.12402
9.45, 0.3855102, 456.29813
9.50, 0.3990675, 454.2532
9.55, 0.41368467, 452.02557
9.60, 0.42893827, 449.65488
9.65, 0.44444597, 447.18274
9.70, 0.45988256, 444.65027
9.75, 0.4749916, 442.09564
9.80, 0.48958635, 439.55136
9.85, 0.50355303, 437.04242
9.90, 0.5168396, 434.58505
9.95, 0.52943623, 432.18796
10.00, 0.54135513, 429.8537
10.05, 0.55259895, 427.58316
10.10, 0.5631298, 425.38043
10.15, 0.57284355, 423.25827
10.20, 0.58155453, 421.24408
10.25, 0.5889918, 419.38202
10.30, 0.594822, 417.73325
10.35, 0.59869033, 416.3699
10.40, 0.6002575, 415.36737
10.45, 0.5992483, 414.79282
10.50, 0.59547746, 414.6947
10.55, 0.5888808, 415.09436
10.60, 0.579515, 415.9806
10.65, 0.56757295, 417.30972
10.70, 0.55337, 419.00906
10.75, 0.53733087, 420.98508
10.80, 0.51996726, 423.13245
10.85, 0.50184464, 425.34418
10.90, 0.48354873, 427.52103
10.95, 0.46565205, 429.57693
11.00, 0.44868433, 431.44318
11.05, 0.4331085, 433.06934
11.10, 0.41930476, 434.42245
11.15, 0.40756473, 435.48444
11.20, 0.39809042, 436.24945
11.25, 0.39099506, 436.72028
11.30, 0.38631383, 436.90582
11.35, 0.38401264, 436.8186
11.40, 0.3839989, 436.47333
11.45, 0.3861342, 435.88596
11.50, 0.39024103, 435.0728
11.55, 0.39611554, 434.05087
11.60, 0.40353394, 432.8378
11.65, 0.4122595, 431.45215
11.70, 0.42205116, 429.91406
11.75, 0.4326684, 428.24466
11.80, 0.443874, 426.4668
11.85, 0.45544207, 424.60504
11.90, 0.46716446, 422.68396
11.95, 0.47885042, 420.72913
12.00, 0.49033073, 418.76508
12.05, 0.50145876, 416.81528
12.10, 0.5121052, 414.90198
12.15, 0.52215725, 413.04578
12.20, 0.53150594, 411.26584
12.25, 0.5400416, 409.58264
12.30, 0.547642, 408.01706
12.35, 0.5541681, 406.5934
12.40, 0.5594641, 405.33905
12.45, 0.56336373, 404.2848
12.50, 0.5656986, 403.4629
12.55, 0.5663148, 402.90475
12.60, 0.56509054, 402.63654
12.65, 0.5619492, 402.67603
12.70, 0.5568779, 403.02866
12.75, 0.5499289, 403.68527
12.80, 0.541227, 404.6212
12.85, 0.5309676, 405.79758
12.90, 0.5194124, 407.16357
12.95, 0.5068762, 408.6603
13.00, 0.49371368, 410.22525
13.05, 0.4803044, 411.79608
13.10, 0.46703273, 413.31503
13.15, 0.4542707, 414.73148
13.20, 0.44236135, 416.00345
13.25, 0.43160996, 417.09854
